Occupation          ,FormID
bos_soldier         ,LvlBoSSoldier_CombatArmor_Missile_Aggro1800
bos_soldier         ,LvlBoSSoldier_CombatArmor_Missile_Aggro2048
bos_soldier         ,LvlBoSSoldier_CombatArmor_Semi
bos_soldier         ,LvlBoSSoldier_CombatArmor_Semi_Aggro1536
bos_soldier         ,LvlBoSSoldier_CombatArmor_Semi_Aggro2048
bos_support         ,LvlBoSSquire
bos_support         ,LvlBoSVertibirdPilot
cultist             ,LvlChildrenofAtom
cultist             ,LvlChildrenofAtomBoss
cultist             ,LvlChildrenofAtomFemale
cultist             ,LvlChildrenofAtomMale
guard               ,LvlCovenantHQSecurity
guard               ,LvlCovenantHQSecurityWithKey
drifter             ,LvlFeralGhoul
drifter             ,LvlFeralGhoulAggro1024
drifter             ,LvlFeralGhoulAggro1200
drifter             ,LvlFeralGhoulAggro1536
drifter             ,LvlFeralGhoulAggro1536_NoInterrupts
drifter             ,LvlFeralGhoulAggro512
drifter             ,LvlFeralGhoulAggro800
drifter             ,LvlFeralGhoulAmbush
drifter             ,LvlFeralGhoulAmbushLegendary
drifter             ,LvlFeralGhoulBoss
drifter             ,LvlFeralGhoulBoss1200
drifter             ,LvlFeralGhoulBossAggro800
drifter             ,LvlFeralGhoulBossAmbush
drifter             ,LvlFeralGhoulGlowingOne
drifter             ,LvlFeralGhoulGlowingOneAggro1024
drifter             ,LvlFeralGhoulGlowingOneAmbush
drifter             ,LvlFeralGhoulGlowingOneAmbushLegendary
drifter             ,LvlFeralGhoulGlowingOneLegendary
drifter             ,LvlFeralGhoulLegendary
drifter             ,LvlFeralGhoulNoLegendary
raider              ,LvlForged
raider              ,LvlForgedAggro
raider              ,LvlForgedFlamer
raider              ,LvlForgedFlamerAggro
raider              ,LvlForgedFlamerAggro_Burned
raider              ,LvlForgedFlamer_Burned
raider              ,LvlForgedGrenadier
raider              ,LvlForgedGrenadierAggro
raider              ,LvlForgedGrenadier_Burned
raider              ,LvlForgedMelee
raider              ,LvlForgedMeleeAggro
raider              ,LvLForged_Boss
gunner              ,LvlGunner
gunner              ,LvlGunnerAggro1024
gunner              ,LvlGunnerAggro2048
gunner              ,LvlGunnerAggro512
gunner              ,LvlGunnerAuto
gunner              ,LvlGunnerAutoAggro1024
gunner              ,LvlGunnerAutoAggro2048
gunner              ,LvlGunnerBoss
gunner              ,LvlGunnerBossAggro1024
gunner              ,LvlGunnerBossAggro2048
gunner              ,LvlGunnerBoss_PowerArmor
gunner              ,LvlGunnerBoss_PowerArmorAggro1024
gunner              ,LvlGunnerBoss_PowerArmorAggro2048
gunner              ,LvlGunnerFatman
gunner              ,LvlGunnerLegendary
gunner              ,LvlGunnerMelee
gunner              ,LvlGunnerMeleeAggro1024
gunner              ,LvlGunnerMeleeAggro2048
gunner              ,LvlGunnerMissileLauncher
gunner              ,LvlGunnerMixed
gunner              ,LvlGunnerNoLegendary
gunner              ,LvlGunnerRobotAll
gunner              ,LvlGunnerRobotAll_Aggro1024
gunner              ,LvlGunnerRobotAll_Aggro1536
gunner              ,LvlGunnerRobotAll_Aggro2048
gunner              ,LvlGunnerRobotAssaultron
gunner              ,LvlGunnerRobotAssaultronAggro1024
gunner              ,LvlGunnerRobotAssaultronAggro2048
gunner              ,LvlGunnerSemiAuto
gunner              ,LvlGunnerSemiAutoAggro1024
gunner              ,LvlGunnerSemiAutoAggro2048
gunner              ,LvlGunnerShotgun
gunner              ,LvlGunnerShotgunAggro1024b
gunner              ,LvlGunnerShotgunAggro2048
gunner              ,LvlGunnerSniper
gunner              ,LvlGunnerSniperAggro1024
gunner              ,LvlGunnerSniperAggro2048
gunner              ,LvlGunner_GunnersFemale01
gunner              ,LvlGunner_GunnersMale01
gunner              ,LvlGunner_GunnersMale02
railroad_runaway    ,LvlInstituteRefugee
merchant            ,LvlMerchant
minuteman           ,LvlMinuteman
minuteman           ,LvlMinutemanFemale
minuteman           ,LvlMinutemanMale
minuteman           ,LvlMinutemanWorkshop
minuteman           ,LvlMinutemanWorkshopFemale
minuteman           ,LvlMinutemanWorkshopMale
minuteman           ,LvlMinuteman_Auto
minuteman           ,LvlMinuteman_LaserMusket
minuteman           ,LvlMinuteman_NonAuto
minuteman           ,LvlMinutemenVertibirdPilot
cultist             ,LvlPrewarCultist
cultist             ,LvlPrewarCultistBoss
cultist             ,LvlPrewarCultistGuard
raider              ,LvlRaider
raider              ,LvlRaiderAggressive
raider              ,LvlRaiderAggro1200
raider              ,LvlRaiderAggro1536
raider              ,LvlRaiderAuto
raider              ,LvlRaiderAutoAggro1200
raider              ,LvlRaiderAutoAggro1536
raider              ,LvlRaiderAutoGhoul
raider              ,LvlRaiderBoltAction
raider              ,LvlRaiderBoltActionAggro1200
raider              ,LvlRaiderBoltActionAggro1536
raider              ,LvlRaiderBoltActionGhoul
raider              ,LvlRaiderBoss
raider              ,LvlRaiderBossFemale
raider              ,LvlRaiderBossFemaleUnagressive
raider              ,LvlRaiderBossGhoul
raider              ,LvlRaiderBossMale
raider              ,LvlRaiderBossMaleUnagressive
raider              ,LvlRaiderBossPowerArmor
raider              ,LvlRaiderBossUnagressive
raider              ,LvlRaiderDog
raider              ,LvlRaiderDog_Aggro1536
raider              ,LvlRaiderFatman
raider              ,LvlRaiderGhoul
raider              ,LvlRaiderGrenade
raider              ,LvlRaiderLegendary
raider              ,LvlRaiderMelee
raider              ,LvlRaiderMeleeAggro1024
raider              ,LvlRaiderMeleeAggro1200
raider              ,LvlRaiderMeleeAggro1536
raider              ,LvlRaiderMeleeAggro800
raider              ,LvlRaiderMeleeGhoul
raider              ,LvlRaiderMeleeMale01
raider              ,LvlRaiderMeleeMale02
raider              ,LvlRaiderMissileLauncher
raider              ,LvlRaiderMixed
raider              ,LvlRaiderNoHelmet
raider              ,LvlRaiderNoLegendary
raider              ,LvlRaiderPowerArmor
raider              ,LvlRaiderPowerArmorFatman
raider              ,LvlRaiderRevolver
raider              ,LvlRaiderRevolverAggro1024
raider              ,LvlRaiderRevolverAggro1200
raider              ,LvlRaiderRevolverAggro1536
raider              ,LvlRaiderRevolverAggro768
raider              ,LvlRaiderRevolverGhoul
raider              ,LvlRaiderUnaggressive
raider              ,LvlRaider_Classic
raider              ,LvlRaider_Female
raider              ,LvlRaider_Handmade_MG
raider              ,LvlRaider_Male
raider              ,LvlRaider_MaleAggressive
railroad_agent      ,LvlRailroadVertibirdPilot
railroad_agent      ,LvlRRagent
drifter             ,LvlScavenger
drifter             ,LvlScavengerAggro768
drifter             ,LvlScavengerFemale
drifter             ,LvlScavengerMale
guard               ,LvlSecurityDiamondCity
guard               ,LvlSecurityDiamondCityExterior
guard               ,LvlSMBehemoth
guard               ,LvlSMBehemoth_Aggro2048
guard               ,LvlSMBehemoth_LevelGated
guard               ,LvlSupermutantAggro1024
guard               ,LvlSupermutantAggro1200
guard               ,LvlSupermutantAggro1536
guard               ,LvlSupermutantAllRanged
guard               ,LvlSupermutantAllRangedLegendary
guard               ,LvlSupermutantAuto
guard               ,LvlSupermutantAutoAggro1024
guard               ,LvlSupermutantAutoAggro1200
guard               ,LvlSupermutantAutoAggro1536
guard               ,LvlSupermutantAutoLegendary
guard               ,LvlSupermutantBoss
guard               ,LvlSupermutantBossAggro1200
guard               ,LvlSupermutantBossAggro1536
guard               ,LvlSupermutantGrenade
guard               ,LvlSupermutantGrenadeAggro1200
guard               ,LvlSupermutantMelee
guard               ,LvlSupermutantMeleeAggro1200
guard               ,LvlSupermutantMeleeAggro512
guard               ,LvlSupermutantMinigun
guard               ,LvlSupermutantMinigunBoss
guard               ,LvlSupermutantMissile
guard               ,LvlSupermutantMissileAggro1200
guard               ,LvlSupermutantMissileAggro1536
guard               ,LvlSupermutantMixed
guard               ,LvlSupermutantNoBerserk
guard               ,LvlSupermutantRifle
guard               ,LvlSupermutantRifleAggro1024
guard               ,LvlSupermutantRifleAggro1200
guard               ,LvlSupermutantRifleAggro1536
guard               ,LvlSupermutantRifleAmbushLegendary
guard               ,LvlSupermutantRifleLegendary
guard               ,LvlSupermutantSuicider
guard               ,LvlSupermutantSuiciderAggro1200
guard               ,LvlSupermutantSuiciderAggro1536
institute_soldier   ,LvlSynth
institute_soldier   ,LvlSynthAggro512
institute_soldier   ,LvlSynthAmbush
institute_soldier   ,LvlSynthAmbushAuto
institute_soldier   ,LvlSynthAmbushBoss
institute_soldier   ,LvlSynthAmbushLegendary
institute_soldier   ,LvlSynthAmbushMelee
institute_soldier   ,LvlSynthAmbushPistol
institute_soldier   ,LvlSynthAmbushRifle
institute_soldier   ,LvlSynthAmbushSuperBarrel
institute_soldier   ,LvlSynthAuto
institute_soldier   ,LvlSynthAutoAggro512
institute_soldier   ,LvlSynthAutoAggro768
institute_soldier   ,LvlSynthBoss
institute_soldier   ,LvlSynthBossAggro512
institute_soldier   ,LvlSynthBossAggro768
institute_assassin  ,LvlSynthCourser
institute_assassin  ,LvlSynthCourserNoTeleport
institute_assassin  ,LvlSynthCourserNoTeleport_Institute
institute_soldier   ,LvlSynthLegendary
institute_soldier   ,LvlSynthMelee
institute_soldier   ,LvlSynthMeleeAggro512
institute_soldier   ,LvlSynthMeleeAggro768
institute_soldier   ,LvlSynthPistol
institute_soldier   ,LvlSynthPistolAggro512
institute_soldier   ,LvlSynthPistolAggro768
institute_soldier   ,LvlSynthRifle
institute_soldier   ,LvlSynthSuperbarrel
institute_soldier   ,LvlSynthSuperbarrelAggro512
institute_soldier   ,LvlSynthTeleport
institute_soldier   ,LvlSynthTeleport_Manual
institute_soldier   ,LvlSynth_Institute
institute_soldier   ,LvlSynth_Institute_Aggro512
institute_soldier   ,LvlSynth_Institute_AllArmor_Auto
institute_soldier   ,LvlSynth_Institute_AllArmor_Melee
institute_soldier   ,LvlSynth_Institute_AllArmor_Pistol
institute_soldier   ,LvlSynth_Institute_AllArmor_Rifle
institute_soldier   ,LvlSynth_Institute_Auto
institute_soldier   ,LvlSynth_Institute_AutoAggro512
institute_soldier   ,LvlSynth_Institute_Boss
institute_soldier   ,LvlSynth_Institute_BossAggro512
institute_soldier   ,LvlSynth_Institute_Internal
institute_soldier   ,LvlSynth_Institute_Legendary
institute_soldier   ,LvlSynth_Institute_Melee
institute_soldier   ,LvlSynth_Institute_MeleeAggro512
institute_soldier   ,LvlSynth_Institute_Patroller
institute_soldier   ,LvlSynth_Institute_Pistol
institute_soldier   ,LvlSynth_Institute_Rifle
institute_soldier   ,LvlSynth_Institute_Superbarrel
institute_soldier   ,LvlSynth_Institute_SuperbarrelAggro512
institute_soldier   ,LvlSynth_SRB_Guard
# LvlTriggerman
# LvlTriggermanGhoulOnly
# LvlTriggermanHumanOnlyPistol
# LvlTriggermanMelee
# LvlTriggermanMeleeGhoulOnly
# LvlTriggermanPistol
# LvlTriggermanUnaggressive
# LvlTriggermanUnaggressiveGhoulOnly
# LvlTriggermanUnaggressiveHumanOnlyPistol
# LvlTriggermanUnaggressiveMeleeGhoulOnly
drifter             ,LvlViciousDog
drifter             ,LvlViciousDogAggro1100
drifter             ,LvlViciousDogAggro512
drifter             ,LvlViciousDogAlpha
drifter             ,LvlViciousDogAlphaAggro1100
drifter             ,LvlViciousDogAlphaAggro512
drifter             ,LvlViciousDogLegendary
